slug,title,letter,url,alt_titles
chronic-mucocutaneous-candidiasis,Acquired chronic mucocutaneous candidiasis,A,https://dermnetnz.org/topics/chronic-mucocutaneous-candidiasis,Chronic mucocutaneous candidiasis | Chronic mucocutaneous candidosis | Familial chronic mucocutaneous candidiasis
cold-urticaria,Acquired cold urticaria,A,https://dermnetnz.org/topics/cold-urticaria,Cold induced angioedema urticaria | Cold urticaria | Idiopathic cold urticaria | Urticaria due to cold
acquired-dermal-macular-hyperpigmentation,Acquired dermal macular hyperpigmentation,A,https://dermnetnz.org/topics/acquired-dermal-macular-hyperpigmentation,Acquired macular hyperpigmentation disorders | Acquired macular pigmentation of unknown aetiology
acquired-elastotic-haemangioma-pathology,Acquired elastotic haemangioma pathology,A,https://dermnetnz.org/topics/acquired-elastotic-haemangioma-pathology,
epidermolysis-bullosa-acquisita,Acquired epidermolysis bullosa,A,https://dermnetnz.org/topics/epidermolysis-bullosa-acquisita,EBA | Epidermolysis bullosa acquisita
hypertrichosis,Acquired hypertrichosis,A,https://dermnetnz.org/topics/hypertrichosis,Congenital hypertrichosis | Excessive hair | Excessive hairiness | Generalised hypertrichosis | Hypertrichiasis | Localised hypertrichosis | Polytrichia
acquired-hypertrichosis-lanuginosa,Acquired hypertrichosis lanuginosa,A,https://dermnetnz.org/topics/acquired-hypertrichosis-lanuginosa,Hypertrichosis lanuginosa acquisita | Malignant down | Paraneoplastic hypertrichosis lanuginosa
common-variable-immunodeficiency,Acquired hypogammaglobulinemia,A,https://dermnetnz.org/topics/common-variable-immunodeficiency,Common variable agammaglobulinaemia | Common variable hypogammaglobulinaemia | Common variable immunodeficiency | CVAG
acquired-keratoderma,Acquired keratoderma,A,https://dermnetnz.org/topics/acquired-keratoderma,Acquired palmoplantar keratoderma | Keratoderma of palms and soles
acquired-lymphangiectasia,Acquired lymphangiectases,A,https://dermnetnz.org/topics/acquired-lymphangiectasia,Acquired lymphangiectasia
postinflammatory-hyperpigmentation,Acquired melanosis,A,https://dermnetnz.org/topics/postinflammatory-hyperpigmentation,Postinflammatory hyperpigmentation | Postinflammatory melanosis
mid-dermal-elastolysis,Acquired mid-dermal elastolysis,A,https://dermnetnz.org/topics/mid-dermal-elastolysis,Idiopathic mid-dermal elastolysis | Mid-dermal elastolysis
venous-lake,Acquired venous haemangioma,A,https://dermnetnz.org/topics/venous-lake,Senile haemangioma of lip | Venous lake
hand-foot-syndrome,Acral erythema due to cytotoxic therapy,A,https://dermnetnz.org/topics/hand-foot-syndrome,Chemotherapy-induced acral erythema | Erythrodysaesthesia syndrome | Hand foot syndrome | Hand-foot syndrome | Palmar-plantar dysaesthesia | Palmoplantar acral dysaestheia due to cytotoxic therapy | Palmoplantar erythema | Toxic erythema of palms and soles
acral-lentiginous-melanoma,Acral lentiginous melanoma,A,https://dermnetnz.org/topics/acral-lentiginous-melanoma,Acral melanoma | ALM
acral-lentiginous-melanoma-dermoscopy,Acral lentiginous melanoma dermoscopy,A,https://dermnetnz.org/topics/acral-lentiginous-melanoma-dermoscopy,Acrolentiginous melanoma dermoscopy
acral-persistent-papular-mucinosis,Acral persistent papular mucinosis,A,https://dermnetnz.org/topics/acral-persistent-papular-mucinosis,
plack-syndrome,Acral punctate keratosis,A,https://dermnetnz.org/topics/plack-syndrome,Knuckle pads | Leukonychia | PLACK syndrome
crouzon-syndrome,Acrocephalosyndactyly type II,A,https://dermnetnz.org/topics/crouzon-syndrome,Apert Crouzon syndrome | Craniofacial dysostosis | Craniostenosis | Crouzon dermoskeletal syndrome | Crouzon disease | Trigorhinophalangeal dysplasia | Vogt cephalosyndactyly
skin-tag,Acrochordon,A,https://dermnetnz.org/topics/skin-tag,Cutaneous tag | Fibroepithelial papilloma | Fibroepithelial polyp | Skin tag | Soft fibroma | Soft papilloma
acrocyanosis,Acrocyanosis,A,https://dermnetnz.org/topics/acrocyanosis,
acrodermatitis-chronica-atrophicans,Acrodermatitis chronica atrophicans,A,https://dermnetnz.org/topics/acrodermatitis-chronica-atrophicans,Dermatitis atrophicans | Dermatitis atrophicans chronica | Dermatitis chronica atrophicans | Late cutaneous Lyme borreliosis
acrodermatitis-continua-of-hallopeau,Acrodermatitis continua of Hallopeau,A,https://dermnetnz.org/topics/acrodermatitis-continua-of-hallopeau,Acrodermatitis perstans | Acropustulosis | Acropustulosis of Hallopeau | Dermatitis repens
acrodermatitis-enteropathica,Acrodermatitis enteropathica,A,https://dermnetnz.org/topics/acrodermatitis-enteropathica,Brandt syndrome | Danbolt Closs syndrome | Primary zinc deficiency | Primary zinc malabsorption syndrome
acrodermatitis-enteropathica-like-conditions,Acrodermatitis enteropathica-like conditions,A,https://dermnetnz.org/topics/acrodermatitis-enteropathica-like-conditions,Acrodermatitis enteropathica-like eruptions
papular-acrodermatitis-of-childhood,Acrodermatitis of childhood,A,https://dermnetnz.org/topics/papular-acrodermatitis-of-childhood,Acrodermatitis papulosa of childhood | Acrovesicular dermatitis | Gianotti-Crosti syndrome | Infantile papular acrodermatitis | Papular acrodermatitis of childhood
acrodynia,Acrodynia,A,https://dermnetnz.org/topics/acrodynia,Erythredema polyneuropathy | Pink disease
acrokeratoelastoidosis,Acrokeratoelastoidosis,A,https://dermnetnz.org/topics/acrokeratoelastoidosis,Costa acrokeratoelastoidosis | Marginal keratoderma of palms
acrokeratosis-verruciformis-of-hopf,Acrokeratosis Hopf,A,https://dermnetnz.org/topics/acrokeratosis-verruciformis-of-hopf,Acrokeratosis of Hopf | Acrokeratosis verruciformis of Hopf
acrokeratosis-neoplastica,Acrokeratosis neoplastica,A,https://dermnetnz.org/topics/acrokeratosis-neoplastica,Acrokeratosis paraneoplastica of Bazex | Bazex syndrome | Paraneoplastic acrokeratosis
acromegaly,Acromegalia,A,https://dermnetnz.org/topics/acromegaly,Acromegaly | Anterior pituitary adenoma syndrome | Marie disease
acropustulosis-of-infancy,Acropustulosis of infancy,A,https://dermnetnz.org/topics/acropustulosis-of-infancy,Infantile acropustulosis
allergy-to-acrylate,Acrylate allergy,A,https://dermnetnz.org/topics/allergy-to-acrylate,Allergy to acrylates
actinic-cheilitis,Actinic cheilitis,A,https://dermnetnz.org/topics/actinic-cheilitis,Actinic cheilitis with histological atypia | Actinic cheilosis | Solar cheilitis
elastolytic-giant-cell-granuloma,Actinic elastosis,A,https://dermnetnz.org/topics/elastolytic-giant-cell-granuloma,Annular elastolytic giant cell granuloma | Elastolytic giant cell granuloma | Giant cell elastophagocytosis | Meischer granuloma of the face | O'Brien granuloma
solar-elastosis,Actinic elastosis,A,https://dermnetnz.org/topics/solar-elastosis,Elastosis senilis | Solar elastosis
annular-elastolytic-giant-cell-granuloma-pathology,Actinic granuolma pathology,A,https://dermnetnz.org/topics/annular-elastolytic-giant-cell-granuloma-pathology,Annular elastolytic giant cell granuloma pathology
actinic-keratosis,Actinic keratosis,A,https://dermnetnz.org/topics/actinic-keratosis,Solar keratosis
actinic-keratosis-dermoscopy,Actinic keratosis dermoscopy,A,https://dermnetnz.org/topics/actinic-keratosis-dermoscopy,Solar keratosis dermoscopy
actinic-prurigo,Actinic prurigo,A,https://dermnetnz.org/topics/actinic-prurigo,
senile-purpura,Actinic purpura,A,https://dermnetnz.org/topics/senile-purpura,Bateman purpura | Purpura senilis | Senile purpura | Solar purpura
chronic-actinic-dermatitis,Actinic reticuloid,A,https://dermnetnz.org/topics/chronic-actinic-dermatitis,CAD | Chronic actinic dermatitis | Chronic photosensitivity dermatitis
kiwifruit,Actinidia chimensis,A,https://dermnetnz.org/topics/kiwifruit,
mycetoma,Actinomycetoma,A,https://dermnetnz.org/topics/mycetoma,Eumycetoma | Madura foot | Madura mycosis | Mycetoma | Pie de Madura
actinomycosis,Actinomycosis,A,https://dermnetnz.org/topics/actinomycosis,Actinomycotic infection
botryomycosis-pyoderma-vegetans,Actinophytosis,A,https://dermnetnz.org/topics/botryomycosis-pyoderma-vegetans,Bacterial pseudomycosis | Cutaneous botryomycosis
botryomycosis-pathology,Actinophytosis pathology,A,https://dermnetnz.org/topics/botryomycosis-pathology,Bacterial pseudomycosis pathology | Botryomycosis pathology | Cutaneous botryomycosis pathology
phototherapy,Actinotherapy,A,https://dermnetnz.org/topics/phototherapy,Light therapy | Phototherapy
acupuncture-and-its-role-in-treating-skin-disease,Acupuncture and its role in treating skin disease,A,https://dermnetnz.org/topics/acupuncture-and-its-role-in-treating-skin-disease,Use of acupuncture in dermatology
necrotising-fasciitis,Acute dermal gangrene,A,https://dermnetnz.org/topics/necrotising-fasciitis,Flesh eating disease | Haemolytic streptoccal gangrene | Hospital gangrene | Necrotising fasciitis | Suppurative fasciitis
kawasaki-disease,Acute febrile mucocutaneous lymph node syndrome,A,https://dermnetnz.org/topics/kawasaki-disease,Kawasaki disease | Kawasaki mucocutaneous lymph node syndrome | Kawasaki syndrome | Mucocutaneous lymph node syndrome
acute-febrile-neutrophilic-dermatosis,Acute febrile neutrophilic dermatosis (Sweet syndrome),A,https://dermnetnz.org/topics/acute-febrile-neutrophilic-dermatosis,Sweet disease
acute-generalised-exanthematous-pustulosis,Acute generalised exanthematous pustulosis,A,https://dermnetnz.org/topics/acute-generalised-exanthematous-pustulosis,AGEP | Drug induced toxic pustuloderma | Pustular drug eruption
acute-generalised-exanthematous-pustulosis-pathology,Acute generalised exanthematous pustulosis pathology,A,https://dermnetnz.org/topics/acute-generalised-exanthematous-pustulosis-pathology,AGEP pathology
generalised-pustular-psoriasis,Acute generalised pustular psoriasis of von Zumbusch,A,https://dermnetnz.org/topics/generalised-pustular-psoriasis,Generalised pustular psoriasis
graft-versus-host-disease,Acute graft versus host disease,A,https://dermnetnz.org/topics/graft-versus-host-disease,Chronic graft versus host disease | Graft versus host disease
acute-haemorrhagic-oedema-of-infancy,Acute haemorrhagic oedema of infancy,A,https://dermnetnz.org/topics/acute-haemorrhagic-oedema-of-infancy,Acute hemorrhagic edema of infancy | Finkelstein disease | Infantile Henoch-Schönlein purpura | Infantile postinfectious iris like purpura and oedema | Purpura en cocarde avec oedema | Seidlmayer syndrome | Urticarial vasculitis of infancy
acute-hair-matting,Acute hair matting,A,https://dermnetnz.org/topics/acute-hair-matting,Birds nest hair | Felted hair | Hair matting | Matted hair | Plica neuropathica | Plica polonica
acute-hepatic-porphyrias,Acute hepatic porphyrias,A,https://dermnetnz.org/topics/acute-hepatic-porphyrias,
acute-human-immunodeficiency-virus-infection-syndrome,Acute HIV,A,https://dermnetnz.org/topics/acute-human-immunodeficiency-virus-infection-syndrome,Acute human immunodeficiency virus infection syndrome | Acute retroviral syndrome
acute-inflammatory-oedema,Acute inflammatory edema,A,https://dermnetnz.org/topics/acute-inflammatory-oedema,Acute inflammatory oedema | Erythema of oedema | Inflammatory edema | Inflammatory oedema | Inflammatory oedema of the intensive care unit (ICU)
acute-localised-exanthematous-pustulosis,Acute localised exanthematous pustulosis,A,https://dermnetnz.org/topics/acute-localised-exanthematous-pustulosis,Localised pustular drug eruption | Localised toxic pustuloderma
cutaneous-toxicity-from-fish-ingestion,Acute mercury poisoning from fish,A,https://dermnetnz.org/topics/cutaneous-toxicity-from-fish-ingestion,Acute vitamin A poisoning from fish | Cutaneous toxicity from fish ingestion
dyshidrotic-eczema,Acute palmoplantar eczeama,A,https://dermnetnz.org/topics/dyshidrotic-eczema,Dyshidrotic eczema (pompholyx) | Dyshidrotic hand eczema | Vesicular endogenous hand eczema | Vesicular hand dermatitis
pityriasis-lichenoides-et-varioliformis-acuta-pathology,Acute pityriasis lichenoides pathology,A,https://dermnetnz.org/topics/pityriasis-lichenoides-et-varioliformis-acuta-pathology,Pityriasis lichenoides et varioliformis acuta pathology | PLEVA pathology
acute-urticaria,Acute urticaria,A,https://dermnetnz.org/topics/acute-urticaria,
dapsone,Aczone,A,https://dermnetnz.org/topics/dapsone,Avlosulfon | Dapsone | Diaphenylsulfone
adalimumab-for-psoriasis,Adalimumab for psoriasis,A,https://dermnetnz.org/topics/adalimumab-for-psoriasis,HUMIRA®
behcet-disease,Adamantiades Behcet disease,A,https://dermnetnz.org/topics/behcet-disease,Behcet disease | Behçet disease | Malignant aphthosis
autonomic-denervation-dermatitis,ADD,A,https://dermnetnz.org/topics/autonomic-denervation-dermatitis,Autonomic denervation dermatitis
adenoid-cystic-carcinoma-pathology,Adenocarcinoma cylindroid,A,https://dermnetnz.org/topics/adenoid-cystic-carcinoma-pathology,Adenocystic carcinoma | Adenoid cystic carcinoma pathology
