id,name,def,synonyms,xrefs,is_a,alt_ids,is_obsolete
DERMO:0000643,familial thrombotic thrombocytopenic purpura,,,,DERMO:0000636|DERMO:0003173,,False
DERMO:0000644,premature aging syndrome or inherited poikiloderma,,,,DERMO:0000002,,False
DERMO:0000645,branchio-oculo-facial syndrome,,,,DERMO:0000644,,False
DERMO:0000646,nestor-guillermo progeria syndrome,,,"OMIM:603811 ""nestor-guillermo progeria syndrome""",DERMO:0000644,,False
DERMO:0000647,hutchison-gilford progeria syndrome,,HGPS|hutchison-gilford syndrome|progeria,"DOID:3911 ""hutchison-gilford progeria syndrome""",DERMO:0000644,,False
DERMO:0000648,mandibuloacral dysplasia,,,"SNOMEDCT_US_2015_03_01:109419009 ""mandibuloacral dysplasia""|DERMLEX:4586 ""mandibuloacral dysplasia""|OMIM:150330 ""mandibuloacral dysplasia""",DERMO:0000644,,False
DERMO:0000649,mandibuloacral dysplasia type A,,,,DERMO:0000648,,False
DERMO:0000650,mandibuloacral dysplasia type B,,,,DERMO:0000648,,False
DERMO:0000651,werner syndrome,,progeria of the adult,"SNOMEDCT_US_2015_03_01:51626007 ""werner syndrome""|DERMLEX:3312 ""werner syndrome""|DOID:5688 ""werner syndrome""|OMIM:604611 ""werner syndrome""",DERMO:0000644,,False
DERMO:0000652,"werner syndrome, typical",,,,DERMO:0000651,,False
DERMO:0000653,"werner syndrome, atypical",,,,DERMO:0000651,,False
DERMO:0000654,inherited lipodystrophy,,,,DERMO:0000002|DERMO:0001313,DERMO:0001314,False
DERMO:0000655,leprechaunism,,donohue syndrome|insulin-resistant diabetes mellitus and somatic abnormalities|pineal hyperplasia|rabson-mendenhall syndrome,"SNOMEDCT_US_2015_03_01:111307005 ""leprechaunism""|DERMLEX:3745 ""leprechaunism""|DOID:0050470 ""leprechaunism""|OMIM:147670 ""leprechaunism""",DERMO:0000654,,False
DERMO:0000657,congenital generalized lipodystrophy type 1,,"Brunzell syndrome, AGPAT2 related|CGL1",,DERMO:0001315,,False
DERMO:0000658,congenital generalized lipodystrophy type 2,,"brunzell syndrome, BSCL2 related|CGL2",,DERMO:0001315,,False
DERMO:0000659,congenital generalized lipodystrophy type 3,,CGL3,,DERMO:0001315,,False
DERMO:0000660,congenital generalized lipodystrophy type 4,,CGL4,,DERMO:0001315,,False
DERMO:0000662,familial partial lipodystrophy type 2,,,,DERMO:0001316,,False
DERMO:0000663,familial partial lipodystrophy type 3,,,,DERMO:0001316,,False
DERMO:0000664,familial partial lipodystrophy type 4,,,,DERMO:0001316,,False
DERMO:0000665,acquired partial lipodystrophy,,APLD|barraquer-simons syndrome|cephalothoracic lipodystrophy|progressive lipodystrophy,"SNOMEDCT_US_2015_03_01:75659004 ""acquired partial lipodystrophy""|DERMLEX:4597 ""acquired partial lipodystrophy""",DERMO:0001320,DERMO:0001322,False
DERMO:0000666,disorder with cutaneous calcification or ossification,,,,DERMO:0000002,,False
DERMO:0000667,albright hereditary osteodystrophy,,pseudohypoparathyroidism type 1A,"SNOMEDCT_US_2015_03_01:123057000 ""albright hereditary osteodystrophy""|SNOMEDCT_US_2015_03_01:58833000 ""albright hereditary osteodystrophy""|SNOMEDCT_US_2015_03_01:58976002 ""albright hereditary osteodystrophy""|DERMLEX:2727 ""albright hereditary osteodystrophy""|DOID:0080053 ""albright hereditary osteodystrophy""",DERMO:0000666,,False
DERMO:0000668,progressive osseous heteroplasia,,,"DERMLEX:2726 ""progressive osseous heteroplasia""",DERMO:0000666,,False
